"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","2","Photos API","40","0","","0"
"0","","8","Posts API","31","0","","0"
"1","","3","Albums API","33","0","","0"
"0","","11","Comments API","28","0","","0"
"0","","7","Users API","25","0","","0"
"1","","2","Todos API","33","0","","0"
